ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,Policy,Rationale,IsBranch
33,204,{},1761653656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,"[""Rationale""]",Imperium,"Perfect timing for Imperium policy as Indonesia's conquest of Korea progresses successfully (40% vs -40% war score). The +40 Science/Culture from conquered cities and +20 Production/Gold from border expansion will significantly accelerate our development. With multiple cities founded and ongoing expansion, border expansion bonuses are valuable. This enhances our conquest-focused strategy while providing immediate yields during Indonesia's war, positioning us for potential participation in the victory or rapid post-war expansion.",0
34,209,{},1761653792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,"[""Policy"",""IsBranch"",""Rationale""]",Fealty,"Despite war progress, our happiness is at 50% causing combat penalties. Fealty provides +1 Faith and Strength in every city when adopted, and the branch allows purchasing Monasteries with Faith (+3 Food, +3 Science, +2 Faith) which will help address happiness and economic issues during extended wars. -25% Faith costs for buildings will support our religious needs. This will strengthen our position for both current wars and potential Venice confrontation.",1
35,210,{},1761653821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,"[""Rationale""]",Fealty,"Critical moment for Fealty adoption despite the 4-turn wait. Our 51% happiness is causing severe combat penalties just when we need maximum military effectiveness. Fealty provides +1 Faith and Strength in every city, and the branch allows purchasing Monasteries with Faith (+3 Food, +3 Science, +2 Faith) which will directly address our happiness crisis. The -25% Faith building costs will accelerate our ability to purchase happiness buildings during this critical war period when Indonesia is rapidly capturing Korean cities.",1
36,218,{},1761654012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,"[""Policy"",""IsBranch"",""Rationale""]",None,"Despite 4-turn wait, Fealty is critical now. Our 51% happiness with combat penalties is crippling during this crucial war phase. Fealty provides +1 Faith/Strength per city and enables purchasing Monasteries with Faith (+3 Food, +3 Science, +2 Faith) to immediately address our happiness crisis. The -25% Faith building costs will accelerate recovery during this race against Indonesia's rapid Korean expansion.",0
37,219,{},1761654032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,"[""Policy"",""Rationale""]",Ceremony,"+1 Happiness from National Wonders will help address our 48% happiness crisis and combat penalties. +25% Production toward National Wonders accelerates key infrastructure. Royal Astrologer bonus provides +3 Science and +1 Science to all Councils/Smokehouses/Herbalists, supporting our tech needs for continued military advancement.",0
38,222,{},1761654114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,"[""Policy"",""Rationale""]",Dominance,"Critical military boost for imminent Indonesia conflict. Dominance provides Endurance promotion for melee units healing after combat, +1 Production per 10 military units (we have substantial military), and +5 Military Supply. With Indonesia planning war and controlling most city-states, we need maximum combat effectiveness. The healing bonus will sustain our offensive units during prolonged campaigns, and production boost will accelerate our military buildup. This directly supports our conquest strategy against the dominant Indonesian civilization.",0
39,231,{},1761654403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,"[""Rationale""]",Dominance,"Critical military boost for Indonesia confrontation. Dominance provides Endurance promotion for melee units healing after combat, +1 Production per 10 military units (we have substantial military), and +5 Military Supply. With fierce ongoing battles against Indonesian forces, our units need healing capabilities to sustain prolonged campaigns. The production boost will accelerate our military buildup while supply increase addresses combat penalties. This directly supports our conquest strategy against Indonesia which controls 50% of capitals and has major city-state advantages.",0
40,233,{},1761654484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,"[""Rationale""]",Dominance,"Critical military boost for the Indonesia war effort. Dominance provides: 1) Endurance for melee units to heal after combat - essential for sustained campaigns near Seoul and Ormus, 2) +1 Production per 10 military units (we have substantial military across multiple zones), 3) +5 Military Supply to address combat penalties from 'Unhappy' status. With Indonesia controlling 50% of capitals and our forces engaged in multiple battles, this policy directly supports our conquest victory path.",0
41,237,{},1761654859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,"[""Policy"",""Rationale""]",Honor,"Adopting Honor provides immediate combat benefits: +10% combat strength for all military units, free supply-free units at city population milestones, and -25% war weariness. This is crucial for our war with Indonesia as we face significant military pressure near Seoul. The combat bonus will help turn the tide in contested zones, and reduced war weariness will help maintain our happiness levels during this prolonged conflict.",0
42,238,{},1761654888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,"[""Rationale""]",Honor,"Honor provides immediate critical benefits for our war with Indonesia: +10% combat strength for all military units, free supply-free units at population milestones, and -25% war weariness. This directly addresses our combat disadvantages near Seoul and helps manage our 48% happiness situation. The combat bonus will help turn the tide in contested zones where we're taking losses, while reduced war weariness will help maintain happiness during this prolonged conflict.",0
43,242,{},1761655020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,"[""Rationale""]",Honor,"Honor provides immediate essential benefits for our critical war against Indonesia: +10% combat strength for all military units will help turn the tide in contested zones like Seoul where we're taking heavy losses, free supply-free units at population milestones will help offset our high military costs, and -25% war weariness is crucial for managing our 40% happiness crisis. With Indonesia at 50% domination victory by holding Seoul, we need every combat advantage possible to break through their defenses and prevent their victory.",0
44,246,{},1761655141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,"[""Policy"",""Rationale""]",None,"Maintaining war momentum is critical - Indonesia at 50% domination victory represents an existential threat. Any delay in military production could allow Indonesia to recover around Seoul and push their victory. Our current war strategies (AtWar, WinningWars, GsConquest) are working correctly, with strong military production feeding our siege operations. The happiness crisis (44%) is being handled by NeedHappinessCritical. We should focus our culture points on maintaining existing policies rather than spending time unlocking Honor when we need maximum war output to prevent Indonesia's domination victory.",0
45,249,{},1761655251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,"[""Policy"",""Rationale""]",Honor,"With the critical battle for Seoul ongoing, Honor provides essential combat bonuses we desperately need. +10% Combat Strength for all military units directly addresses our strength deficit in the Seoul zone (717 enemy vs 346 friendly). The -25% War Weariness helps sustain our war effort against Indonesia as they pursue domination victory. Supply-free military units from city milestones will help reinforce our siege without straining our economy. This is purely a war emergency policy to help take Seoul before Indonesia can consolidate.",0
46,250,{},1761655292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,"[""Rationale""]",Honor,"The battle for Seoul remains decisive - Indonesia still has 892 strength vs our 435 despite our Field Gun advantage. Honor provides +10% Combat Strength for all units and -25% War Weariness, which is crucial as we're at 24% war weariness with combat penalties. Supply-free military units from city milestones will help reinforce our siege without straining our economy. This emergency war policy is needed to overcome Seoul's defenses before Indonesia consolidates their 50% domination victory progress toward conquering all 4 capitals.",0
47,258,{},1761655563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,"[""Policy"",""Rationale""]",Tribute,"Tribute provides +2 Gold per city and -50% cost of buying tiles, crucial for funding the war against Indonesia's 50% Domination Victory threat. With 34% war weariness causing combat penalties, we need the cash from Tribute to buy emergency military units and maintain war effort. The tile buying discount helps secure strategic positions around Seoul faster, while the per-city gold from 13 Ottoman cities gives us sustainable war funding. This policy supports our GsConquest strategy by ensuring we can afford continued military production despite the resource strain of constant warfare.",0
48,261,{},1761655657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,"[""Policy"",""Rationale""]",Honor,Honor policy is absolutely critical for breaking the Seoul stalemate against Indonesia. +10% Combat Strength for all military units will give our Field Guns and Janissaries the edge needed to overcome Indonesia's 607 strength advantage at Seoul. The Conscription Promotion and supply-free unit spawns will sustain our war machine despite heavy casualties. -25% War Weariness is vital given our current 37% war weariness - this will help maintain production and happiness while we fight to prevent Indonesia from reaching 75% Domination Victory.,0
49,264,{},1761655743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,"[""Policy"",""IsBranch"",""Rationale""]",Imperialism,"Imperialism is the optimal choice for our final push against Indonesia's 50% Domination Victory threat. The +25% land Unit Production will dramatically accelerate our Field Gun and Janissary production - critical for breaking the Seoul stalemate where we're fighting at disadvantage. The +10% Combat Strength against Cities is essential for overcoming Jakarta's 58 Defense and Seoul's 48 Defense. The Great General Points will help sustain our prolonged offensive operations. With Bursa fielding 4 Field Guns and multiple cities on Janissary production, this production boost could be the difference between preventing Indonesia from reaching 75% Domination Victory or losing the game. The naval combat bonus also helps against Indonesia's Corvette superiority while protecting our Frigate fleet around Malatya coastal operations.",1
50,271,{},1761655954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,"[""Rationale""]",Imperialism,"Imperialism is the optimal choice for our final push against Indonesia's 50% Domination Victory threat. The +25% land Unit Production will dramatically accelerate our Field Gun and Janissary production - critical for breaking the Seoul stalemate where we're fighting at disadvantage. The +10% Combat Strength against Cities is essential for overcoming Jakarta's 51 Defense and Seoul's 48 Defense. The Great General Points will help sustain our prolonged offensive operations. With Bursa fielding multiple Field Guns and several cities on Janissary production, this production boost could be the difference between preventing Indonesia from reaching 75% Domination Victory or losing the game. The naval combat bonus also helps against Indonesia's Corvette superiority.",1
51,278,{},1761656148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,"[""Policy"",""IsBranch"",""Rationale""]",Civilizing Mission,"Civilizing Mission is perfect for our conquest strategy against Indonesia's 50% Domination Victory threat. Retaining all buildings from conquered cities will dramatically boost our economy after capturing Seoul (48 Defense) and Jakarta (38 Defense). The +75 Gold per conquered city will help fund continued military operations, and the +10% Production bonus in conquered cities accelerates our ability to repair and upgrade captured territories. With Imperialism adoption completed this turn and 6 turns remaining in our Golden Age, this policy maximizes our offensive timing for breaking through Indonesian defenses.",0
52,292,{},1761656593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,"[""Rationale""]",Civilizing Mission,"Civilizing Mission is critical for our conquest strategy against Indonesia's imminent 75% Domination Victory threat. As we prepare offensive operations against Seoul (57 Defense) and Jakarta (57 Defense), retaining all buildings from conquered cities will provide immediate economic benefits and infrastructure. The +75 Gold per conquered city will help fund continued military production, while the +10% Production bonus in captured cities accelerates our ability to repair and utilize captured territories. With our strong naval superiority (14+ Frigates/Corvettes) and need to break through Indonesian defenses, this policy maximizes the value of any successful conquests.",0
53,298,{},1761656802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,"[""Policy"",""Rationale""]",Exploitation,"Indonesia controls 75% of capitals - we must convert all economic capacity to military output quickly. Exploitation provides +2 Food and +1 Production from Farms/Camps/Plantations, and +1 Production/Science from coastal tiles. This boosts our high-production cities (Istanbul 130, Ankara 174, Edirne 106) to maximize Artillery and Ironclad production for counter-assault. Cannot afford policy luxury when Indonesia threatens final victory.",0
54,306,{},1761657102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,"[""Rationale""]",Exploitation,"Indonesia's imminent victory requires converting all economic output to military production immediately. Exploitation provides +2 Food and +1 Production from Farms/Camps/Plantations and +1 Production/Science from coastal tiles. This boosts my high-production cities (Istanbul 149, Ankara 155, Edirne 93, Bursa 133) to maximize Corvette and soon Artillery production. Cannot afford policy diversions when Indonesia threatens game-ending victory.",0
55,307,{},1761657146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,"[""Rationale""]",Exploitation,"Indonesia's imminent victory requires converting all economic output to military production immediately. Exploitation provides +2 Food and +1 Production from Farms/Camps/Plantations and +1 Production/Science from coastal tiles. This boosts my high-production cities (Istanbul 149, Ankara 155, Edirne 93, Bursa 133) to maximize Corvette and soon Artillery production when Dynamite completes. Cannot afford policy diversions when Indonesia threatens game-ending victory.",0
56,312,{},1761657364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,"[""Rationale""]",Exploitation,"Exploitation remains essential for converting all economic output to military production. The +2 Food and +1 Production from Farms/Camps/Plantations and +1 Production/Science from coastal tiles will boost our high-production cities (Istanbul 214, Ankara 177, Bursa 118) to maximize Corvette and soon Artillery/Landship production when Combustion completes. Indonesia's imminent victory requires converting every resource to military output immediately - we cannot afford policy diversions when facing such an existential threat.",0
57,324,{},1761657862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,"[""Policy"",""Rationale""]",Honor,"Critical military policy needed during existential war. Indonesia at 75% domination victory and just 3 turns from cultural victory requires maximum combat effectiveness. Honor provides +10% combat strength to ALL military units (essential when facing Modern era Riflemen with our落后 units), generates supply-free units when our cities reach population milestones, and reduces war weariness. This directly addresses our multiple imminent game-ending threats where every combat advantage matters.",0
58,330,{},1761658139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,"[""Rationale""]",Honor,"ABSOLUTE WARTIME Priority - Indonesia faces cultural victory in 3 turns and maintains 75% domination progress. Honor provides +10% combat strength to ALL military units - essential when our Gatling Guns face Indonesian Machine Guns and our forces are technologically disadvantaged. The supply-free unit generation at population milestones and war weariness reduction are critical for sustained conflict. Our forces are fighting across multiple fronts (Busan, Bursa, coastal zones) against superior Indonesian units - this combat bonus means the difference between victory and elimination. No other policy can prevent the immediate existential threats.",0
59,332,{},1761658207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,"[""Rationale""]",Honor,"ABSOLUTE WAR PRIORITY - Indonesian cultural victory approaching in 3-4 turns while maintaining 75% domination progress makes Honor essential. The +10% combat strength bonus is critical when our Gatling Guns (44 ranged) face Indonesian Machine Guns (58) and Light Tanks. Supply-free unit generation and war weariness reduction support sustained warfare across multiple fronts (Busan, Bursa, Kayseri). The recently recaptured city of Kayseri shows our tactical capability - Honor amplifies this advantage in technologically inferior combat situations. No other policy branch can address the immediate existential threats.",0
60,342,{},1761658602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,"[""Rationale""]",Honor,"CRITICAL COMBAT ENHANCEMENT FOR DEFENSIVE WARFAIRE - Indonesia at 75% Domination Victory and 100% Cultural Victory requires immediate military strengthening. Honor provides +10% combat strength across all units - vital when our Gatling Guns (44 strength) face Indonesian Machine Guns (58). Supply-free unit generation supports sustained defense across multiple threatened zones (Bursa, Busan, Jeonju). War weariness reduction essential as we're at 100% war weariness with Indonesia. No other policy provides immediate combat survival benefits needed to prevent Indonesian breakthrough that could end game within 3-4 turns.",0
